"Condition","day","phase","hour","id","Trial","n","mean_Temp","sd_Temp","se_Temp"
"WT","Morphine Day 1","dark",23,53407,5,60,34.3533333333333,0.674367667828484,0.0870604915573485
"WT","Morphine Day 1","dark",23,1105702,7,60,32.9678333333333,1.10776931403038,0.14301240348931
"WT","Morphine Day 1","dark",23,1105717,6,60,34.941,0.385146681280905,0.0497222227482667
"WT","Morphine Day 1","dark",23,1105717,7,60,32.8088333333333,1.36919510150625,0.176762327528082
"WT","Morphine Day 1","dark",23,1110188.3,3,60,35.761,0.368490737643179,0.0475719496707906
"WT","Morphine Day 1","dark",23,1113216.3,3,60,35.2858333333333,0.360114349384703,0.0464905625965759
"WT","Morphine Day 1","dark",23,1114201.3,3,60,34.0108333333333,0.114555761962767,0.0147890852764633
"WT","Morphine Day 1","dark",23,1114204.3,3,60,35.2276666666667,0.210547041055378,0.0271815061200243
"WT","Morphine Day 1","dark",23,1115463.3,3,60,35.3281666666667,0.104629964056818,0.0135076702768779
"WT","Morphine Day 6","light",0,53375,5,59,36.2942372881356,0.681396141274841,0.0887102215791072
"WT","Morphine Day 6","light",0,53376,5,59,36.2442372881356,0.835666579670819,0.108794521950414
"WT","Morphine Day 6","light",0,53377,4,60,35.1908333333333,0.302930834342561,0.0391082025487152
"WT","Morphine Day 6","light",0,53377,5,59,35.6676271186441,0.23110931122449,0.0300878695458446
"WT","Morphine Day 6","light",0,53406,5,59,35.8562711864407,0.570338369938784,0.0742517312729085
"WT","Morphine Day 6","light",0,53407,4,60,34.8483333333333,0.215533761299447,0.0278252889352735
"WT","Morphine Day 6","light",0,53407,5,57,35.2785964912281,0.966727614533564,0.128046200591801
"WT","Morphine Day 6","light",0,1105702,7,60,33.3631666666667,0.355072165816828,0.0458396194970124
"WT","Morphine Day 6","light",0,1105717,6,60,34.9493333333333,0.0694009882864881,0.00895962906146348
"WT","Morphine Day 6","light",0,1105717,7,60,34.558,0.14631982615293,0.0188898083303421
"WT","Morphine Day 6","light",0,1110188.3,3,60,34.7228333333333,0.256324024722065,0.0330912892993805
"WT","Morphine Day 6","light",0,1113216.3,3,60,32.7558333333333,0.858862652871328,0.110878691708339
"WT","Morphine Day 6","light",0,1114204.3,3,60,33.3753333333333,0.713224871631749,0.0920769349976895
"WT","Morphine Day 6","light",0,1115463.3,3,60,32.6793333333333,1.33440504951015,0.172270951128263
"WT","Morphine Day 6","light",1,53375,5,60,37.0708333333333,0.245641958450531,0.0317122404736227
"WT","Morphine Day 6","light",1,53376,5,59,37.3205084745763,0.312268804015748,0.0406539355280946
"WT","Morphine Day 6","light",1,53377,4,58,35.1948275862069,0.394613919154611,0.051815346080987
"WT","Morphine Day 6","light",1,53377,5,60,35.8151666666667,0.277173944446851,0.0357830023615091
"WT","Morphine Day 6","light",1,53406,5,60,35.4593333333333,0.0892694771353724,0.0115246399423314
"WT","Morphine Day 6","light",1,53407,4,59,35.2250847457627,0.719092754271697,0.0936179025728334
"WT","Morphine Day 6","light",1,53407,5,18,35.66,1.83710449925323,0.433009683056759
"WT","Morphine Day 6","light",1,1105702,7,60,34.6783333333333,0.264569792571342,0.0341558133512787
"WT","Morphine Day 6","light",1,1105717,6,60,33.6181666666667,0.79713787095504,0.102910056628004
"WT","Morphine Day 6","light",1,1105717,7,60,34.02,0.308715216252394,0.0398549630422115
"WT","Morphine Day 6","light",1,1110188.3,3,60,34.6828333333333,0.207504067076064,0.02678865986853
"WT","Morphine Day 6","light",1,1113216.3,3,60,32.1446666666667,0.305339303718798,0.0394191346081825
"WT","Morphine Day 6","light",1,1114204.3,3,60,32.4225,0.128783420872119,0.0166258681435113
"WT","Morphine Day 6","light",1,1115463.3,3,60,31.844,0.584068721287522,0.0754029476862411
"WT","Morphine Day 6","light",2,53375,5,60,36.3181666666667,0.236997401592469,0.0305962329820688
"WT","Morphine Day 6","light",2,53376,5,60,36.9686666666667,0.413707776448287,0.0534094442793572
"WT","Morphine Day 6","light",2,53377,4,60,35.702,0.194577334196589,0.0251198258297608
"WT","Morphine Day 6","light",2,53377,5,60,35.7675,0.661481708626518,0.085396921377711
"WT","Morphine Day 6","light",2,53406,5,57,35.550350877193,0.692167828823433,0.0916798685796096
"WT","Morphine Day 6","light",2,53407,4,59,36.1922033898305,0.56288991940487,0.0732820256094037
"WT","Morphine Day 6","light",2,53407,5,49,34.8763265306122,1.20524149357012,0.172177356224303
"WT","Morphine Day 6","light",2,1105702,7,60,34.9155,0.392123402402693,0.0506229135721273
"WT","Morphine Day 6","light",2,1105717,6,60,33.3388333333333,0.507199327870306,0.0654791516683097
"WT","Morphine Day 6","light",2,1105717,7,60,33.9273333333333,0.385072595694373,0.0497126583401723
"WT","Morphine Day 6","light",2,1110188.3,3,60,35.3468333333333,0.153980976886556,0.019878858637146
"WT","Morphine Day 6","light",2,1113216.3,3,60,34.0396666666667,0.749015097190443,0.0966974332492172
"WT","Morphine Day 6","light",2,1114204.3,3,60,33.28,0.448647685564867,0.057920167150241
"WT","Morphine Day 6","light",2,1115463.3,3,60,33.8736666666667,0.780234572869316,0.100727850228604
"WT","Morphine Day 6","light",3,53375,5,60,35.14,0.510004985020502,0.0658413604489056
"WT","Morphine Day 6","light",3,53376,5,60,34.9466666666667,0.95440755723681,0.123213485822422
"WT","Morphine Day 6","light",3,53377,4,60,34.9336666666667,0.358773648800251,0.0463174788953814
"WT","Morphine Day 6","light",3,53377,5,60,35.107,0.326368306038501,0.0421339671339013
"WT","Morphine Day 6","light",3,53406,5,60,34.8926666666667,0.527696839863818,0.0681253690879616
"WT","Morphine Day 6","light",3,53407,4,59,36.2032203389831,0.27162626884015,0.0353627281340836
"WT","Morphine Day 6","light",3,53407,5,54,34.2811111111111,0.968439060466108,0.131787863617906
"WT","Morphine Day 6","light",3,1105702,7,60,34.1423333333333,0.0961349099128662,0.0124109635027227
"WT","Morphine Day 6","light",3,1105717,6,60,34.8248333333333,0.364628864792062,0.0470733840295391
"WT","Morphine Day 6","light",3,1105717,7,60,33.6705,0.19300851829801,0.0249172925681454
"WT","Morphine Day 6","light",3,1110188.3,3,60,34.7035,0.123546807159562,0.0159498242202028
"WT","Morphine Day 6","light",3,1113216.3,3,60,34.6706666666667,0.498835480051481,0.0643993835578923
"WT","Morphine Day 6","light",3,1114204.3,3,60,34.3578333333333,0.277232642113275,0.0357905801976598
"WT","Morphine Day 6","light",3,1115463.3,3,60,35.4578333333333,0.305048435535406,0.0393815836871752
"WT","Morphine Day 6","light",4,53375,5,60,34.755,0.0857766117228007,0.0110737129565502
"WT","Morphine Day 6","light",4,53376,5,60,34.7815,0.50443398385497,0.0651221472910454
"WT","Morphine Day 6","light",4,53377,4,60,35.2085,0.624341890801962,0.080602191513855
"WT","Morphine Day 6","light",4,53377,5,60,34.6683333333333,0.378472248570292,0.0488605571904805
"WT","Morphine Day 6","light",4,53406,5,60,35.1853333333333,1.04994667607401,0.135547533028016
"WT","Morphine Day 6","light",4,53407,4,60,35.2598333333333,0.333479304196953,0.0430519930486545
"WT","Morphine Day 6","light",4,53407,5,55,33.9023636363636,0.889383814235209,0.119924489046882
"WT","Morphine Day 6","light",4,1105702,7,60,34.1635,0.384349880328425,0.0496193561876268
"WT","Morphine Day 6","light",4,1105717,6,60,34.582,0.280010895671785,0.0361492511897815
"WT","Morphine Day 6","light",4,1105717,7,60,33.6805,0.193753512816706,0.025013470946943
"WT","Morphine Day 6","light",4,1110188.3,3,60,34.7496666666667,0.160274834577578,0.0206913921711703
"WT","Morphine Day 6","light",4,1113216.3,3,60,33.7106666666667,0.567596379232209,0.0732763774711325
"WT","Morphine Day 6","light",4,1114204.3,3,60,34.6786666666667,0.362979509468214,0.046860453172831
"WT","Morphine Day 6","light",4,1115463.3,3,60,35.445,0.074435730439767,0.0096096114785334
"WT","Morphine Day 6","light",5,53375,5,60,35.3646666666667,0.572104253467983,0.0738583415325308
"WT","Morphine Day 6","light",5,53376,5,60,34.1585,0.609903646182836,0.0787382221485769
"WT","Morphine Day 6","light",5,53377,4,60,34.5331666666667,0.0610776573387415,0.0078850916566103
"WT","Morphine Day 6","light",5,53377,5,60,35.09,0.375097727378807,0.0484249083779456
"WT","Morphine Day 6","light",5,53406,5,54,34.9935185185185,0.343676885369655,0.0467685003080355
"WT","Morphine Day 6","light",5,53407,4,60,34.9108333333333,0.173618436756933,0.0224140438051388
"WT","Morphine Day 6","light",5,53407,5,60,33.7491666666667,0.818757412525207,0.105701127443133
"WT","Morphine Day 6","light",5,1105702,7,60,33.63,0.146900173645061,0.01896473086941
"WT","Morphine Day 6","light",5,1105717,6,60,34.8265,0.285656098796544,0.0368780437793865
"WT","Morphine Day 6","light",5,1105717,7,60,33.8466666666667,0.0757933557006259,0.00978488014605664
"WT","Morphine Day 6","light",5,1110188.3,3,60,34.5226666666667,0.180205783186293,0.0232644665723593
"WT","Morphine Day 6","light",5,1113216.3,3,60,33.664,0.382175751565619,0.0493386773712649
"WT","Morphine Day 6","light",5,1114204.3,3,60,34.3238333333333,0.107310600463102,0.013853738948837
"WT","Morphine Day 6","light",5,1115463.3,3,60,35.2871666666667,0.197046769520668,0.0254386285592506
"WT","Morphine Day 6","light",6,53375,5,60,34.7938333333333,0.0847147089997009,0.0109366219044883
"WT","Morphine Day 6","light",6,53376,5,60,34.1193333333333,0.26886999357743,0.0347109669140094
"WT","Morphine Day 6","light",6,53377,4,60,34.1433333333333,0.17820828288942,0.0230065903928981
"WT","Morphine Day 6","light",6,53377,5,60,34.5143333333333,0.184044639635419,0.0237600608088907
"WT","Morphine Day 6","light",6,53406,5,58,35.0196551724138,0.939716204858962,0.123390782760507
"WT","Morphine Day 6","light",6,53407,4,60,34.6601666666667,0.168638532969959,0.0217711409907168
"WT","Morphine Day 6","light",6,53407,5,54,33.9185185185185,1.26353563151319,0.171945420501812
"WT","Morphine Day 6","light",6,1105702,7,60,34.0685,0.281339562011002,0.0363207812765966
"WT","Morphine Day 6","light",6,1105717,6,60,33.9801666666667,0.133473690249054,0.0172313793163812
"WT","Morphine Day 6","light",6,1105717,7,60,33.8283333333333,0.252466924611123,0.0325933398162361
"WT","Morphine Day 6","light",6,1110188.3,3,60,34.5915,0.177112671215486,0.0228651475339962
"WT","Morphine Day 6","light",6,1113216.3,3,60,34.2451666666667,0.199359071897977,0.0257371455125411
"WT","Morphine Day 6","light",6,1114204.3,3,60,34.2226666666667,0.151454716246957,0.0195527197909678
"WT","Morphine Day 6","light",6,1115463.3,3,60,35.004,0.363192996273845,0.0468880142009258
"WT","Morphine Day 6","light",7,53375,5,60,34.7076666666667,0.262487234018341,0.0338869561981694
"WT","Morphine Day 6","light",7,53376,5,60,34.4461666666667,0.220416336921566,0.0284556267376422
"WT","Morphine Day 6","light",7,53377,4,60,34.296,0.295056443896326,0.0380916231133884
"WT","Morphine Day 6","light",7,53377,5,60,35.0103333333333,0.550408066390767,0.0710573758249888
"WT","Morphine Day 6","light",7,53406,5,60,34.9353333333333,0.584281295925483,0.075430390953996
"WT","Morphine Day 6","light",7,53407,4,60,34.5051666666667,0.130922304125439,0.0169019967841643
"WT","Morphine Day 6","light",7,53407,5,59,33.9250847457627,0.715740207350732,0.0931814381401809
"WT","Morphine Day 6","light",7,1105702,7,60,34.127,0.299368261397569,0.0386482763591951
"WT","Morphine Day 6","light",7,1105717,6,60,34.0208333333333,0.251950302246812,0.0325266441557943
"WT","Morphine Day 6","light",7,1105717,7,60,33.7006666666667,0.198211209611917,0.0255889571286194
"WT","Morphine Day 6","light",7,1110188.3,3,60,34.2293333333333,0.146829390983199,0.0189555928670569
"WT","Morphine Day 6","light",7,1113216.3,3,60,34.6981666666667,0.15077755156686,0.0194652982066793
